complaint_text,category
Garbage has not been collected from the market for night.,garbage
Broken speed breaker near bus stand,roads
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
"Construction waste has been dumped near the school, blocking a drain.",roads
A burst water pipeline has created a massive pothole at the market.,water
Constant water leakage has completely destroyed the pavement near the station.,water
There is a serious noise pollution issue near the park.,other
Piles of waste blocking station,garbage
Overflowing dustbin near bus stand,garbage
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
Garbage scattered on road near station,garbage
There has been no drinking water in the temple since evening.,water
Garbage scattered on road near park,garbage
Transformer sparking at night near lane,electricity
Piles of trash are blocking the bus station.,garbage
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
Sewage water mixing with supply in temple,water
Garbage has not been collected from the temple for yesterday.,garbage
Drainage system blocked causing foul smell at market,other
Noise pollution issue near bus stand,other
The street light at the bus station has not been working since yesterday.,electricity
There has been no drinking water in a residential colony since yesterday.,water
"Construction waste has been dumped near the main road, blocking a drain.",roads
Sewage water mixing with supply in bus stand,water
The dustbin near the market is overflowing with rubbish.,garbage
The dustbin near the main road is overflowing with waste.,garbage
The footpath is badly damaged near the main road.,roads
Piles of refuse are blocking the bus station.,garbage
Illegal parking at the bus station is causing severe traffic jams.,other
The drainage system at the park is completely blocked.,other
A broken speed breaker at the park is causing accidents.,roads
Workers fixing a power line have dug up the road at the hospital and left it.,electricity
A large pothole at the station is filled with dirty water and garbage.,roads
The street light at the bus station has not been working since evening.,electricity
Tap water is muddy and dirty at hospital,water
The street light at the park has not been working since yesterday.,electricity
A burst water pipeline has created a massive pothole at the park.,water
Frequent power cuts in the bus station.,electricity
The dustbin near the bus station is overflowing with waste.,garbage
Open manhole near temple,other
There is a serious noise pollution issue near the temple.,other
Overflowing dustbin near school,garbage
"A fallen street light damaged the road at the main road, blocking traffic.",electricity
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
The street light at the school has not been working since night.,roads
Stray animals are scattering rubbish all over the hospital.,garbage
Illegal parking next to the overflowing dustbin at the station is creating a huge mess.,other
Piles of waste blocking temple,garbage
The dustbin near the school is overflowing with refuse.,garbage
Sewage water mixing with supply in main road,water
Piles of waste blocking main road,garbage
The footpath is badly damaged near the hospital.,roads
Constant water leakage has completely destroyed the road near the hospital.,water
The street light at the hospital has not been working since 2 days.,electricity
Frequent power cuts in the school.,electricity
There are multiple large potholes on the road at the main road.,roads
Water supply has stopped since night in bus stand,water
A transformer is sparking dangerously near the hospital.,electricity
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
Drainage system blocked causing foul smell at station,other
Garbage has not been collected from a residential colony for 2 days.,garbage
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
There has been no drinking water in the main road since evening.,water
The pavement is badly damaged near the market.,roads
Street light not working in colony,electricity
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
Piles of trash are blocking the main road.,garbage
Construction material blocking road at station,roads
Road completely flooded after rain in temple,roads
Garbage not collected from hospital for 3 days,garbage
Tap water is muddy and dirty at station,water
Garbage has not been collected from the school for night.,garbage
A large pothole at the school is filled with dirty water and garbage.,roads
Construction material has been left blocking the road at a residential colony.,roads
There has been no drinking water in the school since morning.,water
Illegal parking causing traffic jam at school,other
The tap water supplied to the temple is muddy and smells bad.,water
Constant water leakage has completely destroyed the road near the market.,water
Stray animals pulling out garbage at school,garbage
Stray animals are scattering rubbish all over the park.,garbage
Illegal parking at the market is causing severe traffic jams.,other
We suspect sewage is mixing with the water supply in the park.,water
Park lights not working properly in school,other
Tap water is muddy and dirty at park,water
Exposed electric wires are a hazard at the park.,electricity
Overflowing dustbin near colony,garbage
Stray animals are scattering rubbish all over the bus station.,garbage
No drinking water in colony,water
There is a serious noise pollution issue near the bus station.,other
Constant water leakage has completely destroyed the road near the hospital.,water
Piles of waste are blocking the bus station.,garbage
The stench from the uncollected garbage and blocked drain at the main road is unbearable.,garbage
Constant water leakage has completely destroyed the road near the station.,water
The stench from the uncollected garbage and blocked drain at the station is unbearable.,garbage
Garbage not collected from main road for 3 days,garbage
The dustbin near the park is overflowing with waste.,garbage
Transformer sparking at night near colony,electricity
"A fallen street light damaged the footpath at the hospital, blocking traffic.",electricity
"A fallen street light damaged the pavement at the park, blocking traffic.",electricity
The dustbin near the main road is overflowing with rubbish.,garbage
Pipeline leakage flooding the hospital,water
A burst water pipeline has created a massive pothole at the market.,water
A large pothole at the school is filled with dirty water and garbage.,roads
The pavement is badly damaged near the hospital.,roads
Park lights not working properly in colony,other
Illegal parking causing traffic jam at park,other
Construction material blocking road at colony,roads
A large pothole at the market is filled with dirty water and garbage.,roads
Overflowing dustbin near park,garbage
Sewage water mixing with supply in park,water
Potholes on the main road at hospital causing accidents,roads
Noise pollution issue near main road,other
Transformer sparking at night near park,electricity
Potholes on the main road at bus stand causing accidents,roads
Piles of waste blocking bus stand,garbage
Damaged footpath at main road,roads
Garbage has not been collected from the hospital for 2 days.,garbage
"A fallen street light damaged the footpath at the hospital, blocking traffic.",electricity
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
Damaged footpath at lane,roads
Garbage not collected from school for 3 days,garbage
Workers fixing a power line have dug up the footpath at the school and left it.,electricity
The stench from the uncollected garbage and blocked drain at the park is unbearable.,garbage
Garbage scattered on road near market,garbage
Water supply has stopped since afternoon in hospital,water
Workers fixing a power line have dug up the pavement at the main road and left it.,electricity
The street light at a residential colony has not been working since 2 days.,electricity
Street light not working in park,electricity
There has been no drinking water in the school since evening.,water
The stench from the uncollected garbage and blocked drain at the school is unbearable.,garbage
Piles of waste are blocking the market.,garbage
Workers fixing a power line have dug up the pavement at the school and left it.,electricity
Frequent power cuts in the market.,electricity
The stench from the uncollected garbage and blocked drain at the park is unbearable.,garbage
Illegal parking at the hospital is causing severe traffic jams.,other
A burst water pipeline has created a massive pothole at the hospital.,water
Damaged footpath at hospital,roads
No electricity since yesterday in park,electricity
Piles of rubbish are blocking the market.,garbage
Garbage not collected from park for 5 days,garbage
An open manhole at the main road is a major safety risk.,other
Park lights not working properly in park,other
Garbage has not been collected from the temple for 2 days.,garbage
Broken speed breaker near park,roads
"Construction waste has been dumped near the market, blocking a drain.",roads
There has been no drinking water in the main road since a week.,water
The street light at the temple has not been working since morning.,electricity
The pavement is badly damaged near the temple.,roads
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
